"Industry","Avg Job Vacancies","Weekly Salary","Vacancy-to-Salary Ratio"
"real estate and rental and leasing [53]","6680.000","1228.490","5.438"
"health care and social assistance [62]","125795.000","1025.900","122.619"
"wholesale trade [41]","21725.000","1669.590","13.012"
"accommodation and food services [72]","56445.000","641.100","88.044"
"finance and insurance [52]","18605.000","1653.580","11.251"
"manufacturing [31-33]","32150.000","1039.840","30.918"
"other services (except public administration) [81]","24875.000","1397.280","17.802"
"administrative and support, waste management and remediation services [56]","26575.000","854.260","31.109"
"public administration [91]","10915.000","1627.990","6.705"
"mining, quarrying, and oil and gas extraction [21]","5490.000","2234.420","2.457"
"transportation and warehousing [48-49]","31390.000","1107.220","28.350"
"arts, entertainment and recreation [71]","7750.000","962.790","8.050"
"information and cultural industries [51]","8220.000","1134.070","7.248"
"construction [23]","41280.000","1392.870","29.637"
"retail trade [44-45]","47915.000","723.480","66.229"
